topic;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7
тикток;Как наука оценивает эффективность мьюинга?;Как недоказанную, без надёжных клинических исследований;Как полностью доказанную стоматологами;Как официальную замену брекетам;Как гарантированно опасную для зубов;Как одобренную ВОЗ;Как изученную только на животных;Как официально запрещённую в медицине;Как признанную лженаукой во всех странах
тикток;Какая платформа стала основным каналом распространения тренда?;TikTok;LinkedIn;Pinterest;Telegram;Facebook;LiveJournal;Twitch;Одноклассники
тикток;С какой субкультурой исторически связан looksmaxxing?;Инцел-сообщество / манносфера;K-pop фандом;Веганское сообщество;Байкеры;Геймерская культура в целом;Фитнес-блогеры;Скейтеры;Экоактивисты
тикток;Основная целевая аудитория трендов looksmaxxing:;Подростки и молодые мужчины;Женщины 40+;Дошкольники;Пенсионеры;Домохозяйки;Студентки медвузов;Спортсмены-профессионалы;Дети до 10 лет
тикток;Что значит glow up?;Заметное визуальное преображение к лучшему;Загар в солярии;Новый фильтр в TikTok;Утренний ритуал умывания;Смену гардероба на сезон;Причёску для вечеринки;Фотосессию со стилистом;Скидку на косметику
тикток;Что общего у looksmaxxing, sleepmaxxing и moneymaxxing?;Общий продуктивный суффикс «-maxxing»;Придуманы одним блогером;Все связаны с косметикой;Все официально запрещены в TikTok;Все родом из Кореи;Все требуют подписки;Все придуманы маркетологами;Все связаны с фитнесом
тикток;Что описывает canthal tilt?;Угол между внутренним и внешним уголком глаза;Форму бровей;Толщину век;Цвет радужки;Расстояние между глазами;Форму зрачка;Длину ресниц;Изгиб нижнего века
тикток;Что означает negative canthal tilt?;Уголки глаз опущены вниз — в сообществе считается менее «выигрышным»;Более широкая посадка глаз;Асимметрию лица;Отсутствие ресниц;Нависшее веко;Тёмные круги под глазами;Маленький разрез глаз;Покраснение белков глаз
тикток;Midface ratio в жаргоне лукмаксинга относится к:;Пропорциям средней трети лица (от бровей до основания носа);Соотношению роста и веса;Балансу макияжа;Углу подбородка;Ширине плеч;Пропорциям носа и губ;Расстоянию между ушами;Форме скул
тикток;Gonial angle — это угол:;Нижней челюсти, влияющий на «квадратность» лица;Между носом и губой;Изгиба бровей;Между глазами и ушами;Наклона шеи;Между зубами;Изгиба позвоночника;Разреза глаз
тикток;Что чаще всего советуют в softmaxxing-роликах в первую очередь?;Базовый уход за кожей, гигиену, сон, спорт;Хирургическое вмешательство;Голодание;Инъекции филлеров;Отказ от воды;Экстремальные диеты;Отказ от сна;Опасные добавки
тикток;Почему исследователи считают часть контента looksmaxxing маскировкой?;Под видом «самосовершенствования» продвигаются мизогинные идеи инцел-сообщества;Это способ продавать БАДы;Это чисто эстетический тренд без подтекста;Это государственная пропаганда;Это маркетинговый ход косметических брендов;Это часть образовательной программы;Это протест против бьюти-индустрии;Это чисто спортивная субкультура
тикток;Что такое mogwarts в TikTok-мемах?;Шутливое сообщество/мемы вокруг «моггинга»;Школу волшебства;Марку косметики;Приложение для фото;Клуб поклонников;Реалити-шоу;Игру для смартфона;Модный бренд одежды
тикток;Что из перечисленного НЕ относится к безопасным практикам?;Инъекции без назначения врача / бонсмэшинг;SPF-крем;Регулярный сон;Силовые тренировки;Умывание водой;Прогулки на свежем воздухе;Употребление воды;Растяжку по утрам
тикток;Как в лукмаксинг-контенте преподносят отказ от мастурбации («nofap»)?;Как способ якобы поднять тестостерон и улучшить внешность — научно не подтверждено;Как способ улучшить зрение;Как способ ускорить рост волос;Как способ снизить давление;Как способ улучшить память;Как способ похудеть;Как способ вылечить акне;Как способ повысить рост
тикток;Как называют человека, активно продвигающего практики looksmaxxing?;Looksmaxxer;Glow-upper;Skincarist;Beautologist;Faceologist;Aesthetictok-er;Beautymaxxer;Style-influencer
тикток;Что исследователи предлагают в качестве противодействия вредным сторонам тренда?;Медиаграмотность и просвещение подростков о манипулятивном контенте;Полный запрет соцсетей;Игнорирование темы;Штрафы для блогеров;Обязательную цензуру хэштегов;Запрет TikTok для несовершеннолетних;Ограничение возраста регистрации;Удаление всех видео по теме
тикток;Что из этого — реально подтверждённый наукой способ выглядеть более отдохнувшим?;Полноценный сон 7–9 часов;Бонсмэшинг;Starvemaxxing;Заклеивание рта на ночь без показаний;Голодание сутки;Отказ от воды;Ледяные ванны каждый день;Отказ от сна ради учёбы
тикток;Термин looksmatch используют, когда говорят о:;Совместимости партнёров по уровню привлекательности;Подборе оттенка помады;Стиле в одежде;Фотофильтре;Типе причёски;Подборе парфюма;Совпадении имён в соцсетях;Алгоритме рекомендаций TikTok
тикток;Какой психологический риск чаще всего связывают с погружением в такой контент?;Дисморфофобию и навязчивое сравнение себя с другими;Повышение самооценки;Развитие эмпатии;Снижение тревожности;Улучшение сна;Рост уверенности в себе;Снижение перфекционизма;Улучшение концентрации
тикток;Почему бренды используют хэштеги вроде #skincaremaxxing?;Чтобы попасть в вирусный тренд и увеличить охваты;Это официальный термин дерматологии;По требованию модераторов TikTok;Случайно;Это юридическое требование маркировки;Это часть научной классификации;Это стандарт индустрии красоты;Это перевод с корейского
тикток;Что из этого — миф, а не факт про уход за кожей?;Чем больше слоёв косметики, тем лучше результат;SPF нужен даже в пасмурную погоду;Ретинол лучше вводить постепенно;Увлажнение важно при любом типе кожи;Двойное очищение снимает больше загрязнений;Солнцезащитный крем нужно обновлять в течение дня;Патчи под глаза снимают отёк временно;Гиалуроновая кислота удерживает влагу
тикток;Что означает canthal tilt surgery?;Операция по изменению угла разреза глаз, которую иногда рекламируют в hardmaxxing-контенте;Лазерная коррекция зрения;Удаление мешков под глазами;Татуаж век;Наращивание ресниц;Классическую пластику верхнего века;Коррекцию бровей нитями;Инъекции в область висков
тикток;Главный практический вывод для тех, кто следит за трендом looksmaxxing:;Разделять безопасный уход и псевдонаучные/опасные практики, критично относиться к контенту;Слепо повторять всё увиденное в TikTok;Игнорировать любой уход за собой;Доверять только инцел-форумам;Копировать внешность знаменитостей буквально;Делать любую процедуру без консультации врача;Ориентироваться только на лайки под видео;Полностью отказаться от ухода за собой
